YEAR,OFFICENAME,CANDIDATE,PARTY
2014,Tennessee Senate District 15,William L. Draper,Independent
2014,Tennessee Senate District 19,George Thomas,Independent
2014,Tennessee Senate District 19,Rueben (Dock) Dockery,Independent
2014,Tennessee Senate District 27,James A. Baxter,Independent
2014,Tennessee Senate District 30,David W. Vinciarelli,Independent
2014,United States House of Representatives District 1,Michael D. Salyer,Independent
2014,United States House of Representatives District 1,Robert D. Franklin,Independent
2014,United States House of Representatives District 1,Scott Kudialis,Independent
2014,United States House of Representatives District 2,Casey Adam Gouge,Independent
2014,United States House of Representatives District 3,Cassandra J Mitchell,Independent
2014,United States House of Representatives District 4,Robert Rankin Doggart,Independent
2014,United States House of Representatives District 7,Leonard D. Ladner,Independent
2014,United States House of Representatives District 8,Dana Matheny,Independent
2014,United States House of Representatives District 8,James Hart,Independent
2014,United States House of Representatives District 9,Floyd Wayne Alberson,Independent
2014,United States House of Representatives District 9,Herbert A. Bass,Independent
2014,United States House of Representatives District 9,Paul Cook,Independent
2014,United States Senate,"Tom Emerson, Jr.",Independent
2016,Tennessee House of Representatives District 12,John R. Huff Sr.,Independent
2016,Tennessee House of Representatives District 15,Pete Drew,Independent
2016,Tennessee House of Representatives District 15,Rhonda Lynnese Gallman,Independent
2016,Tennessee House of Representatives District 20,Sam Duck,Independent
2016,Tennessee House of Representatives District 21,William James Vandever,Independent
2016,Tennessee House of Representatives District 23,Daniel Lee Housley,Independent
2016,Tennessee House of Representatives District 28,Andrew Newman,Independent
2016,Tennessee House of Representatives District 30,Patrick Hickey,Independent
2016,Tennessee House of Representatives District 32,Tyler Overstreet,Independent
2016,Tennessee House of Representatives District 3,Gary Kawula,Independent
2016,Tennessee House of Representatives District 45,Sibyl Reagan,Independent
2016,Tennessee House of Representatives District 53,Amberlee Brooks,Independent
2016,Tennessee House of Representatives District 56,Joseph H. Johnston,Independent
2016,Tennessee House of Representatives District 64,James Gray,Independent
2016,Tennessee House of Representatives District 67,Mike Warner,Independent
2016,Tennessee House of Representatives District 70,Roy Donald Waldrop,Independent
2016,Tennessee House of Representatives District 75,James Hart,Independent
2016,Tennessee House of Representatives District 76,Bennie Castleman,Independent
2016,Tennessee House of Representatives District 77,Tom Reasons,Independent
2016,Tennessee House of Representatives District 88,Orrden W. Williams,Independent
2016,Tennessee House of Representatives District 93,William King,Independent
2016,Tennessee House of Representatives District 9,John Neubert,Independent
2016,Tennessee Senate District 20,Joseph H. Johnston,Independent
2016,Tennessee Senate District 28,Joey Norman,Independent
2016,United States House of Representatives District 1,Paul Krane,Independent
2016,United States House of Representatives District 1,Robert D. Franklin,Independent
2016,United States House of Representatives District 3,Cassandra J Mitchell,Independent
2016,United States House of Representatives District 3,Topher Kersting,Independent
2016,United States House of Representatives District 7,Leonard D. Ladner,Independent
2016,United States House of Representatives District 8,Adrian M. Montague,Independent
2016,United States House of Representatives District 8,James Hart,Independent
2016,United States House of Representatives District 8,Karen Free Spirit Talley-Lane,Independent
2016,United States House of Representatives District 8,Mark J. Rawles,Independent
2016,United States House of Representatives District 8,Shelia L. Godwin,Independent
2016,United States House of Representatives District 9,Nicholas Brent Mantanona,Independent
2016,United States House of Representatives District 9,Paul Cook,Independent
2018,Tennessee House of Representatives District 11,"Carl R. Eggers, Sr.",Independent
2018,Tennessee House of Representatives District 13,Zachary Houk,Independent
2018,Tennessee House of Representatives District 15,Charles E. Drew,Independent
2018,Tennessee House of Representatives District 19,Michelle Westover,Independent
2018,Tennessee House of Representatives District 2,Robert M. Ellis,Independent
2018,Tennessee House of Representatives District 30,J. Michael Holloway,Independent
2018,Tennessee House of Representatives District 35,Christine Mabry-Vincent,Independent
2018,Tennessee House of Representatives District 51,Randell Stroud,Independent
2018,Tennessee House of Representatives District 53,David Dennison,Independent
2018,Tennessee House of Representatives District 55,Joseph H. Johnston,Independent
2018,Tennessee House of Representatives District 64,James Gray,Independent
2018,Tennessee House of Representatives District 66,David W Ross,Independent
2018,Tennessee House of Representatives District 67,John W. Dawson,Independent
2018,Tennessee House of Representatives District 6,Murphey Johnson,Independent
2018,Tennessee House of Representatives District 70,Roy Donald Waldrop,Independent
2018,Tennessee House of Representatives District 75,James Hart,Independent
2018,Tennessee Senate District 13,Ginger Smith,Independent
2018,Tennessee Senate District 19,"Christina ""Chris"" Callaway",Independent
2018,Tennessee Senate District 19,Howard Jones,Independent
2018,Tennessee Senate District 19,Rueben (Dock) Dockery,Independent
2018,Tennessee Senate District 27,"John H. York, Jr.",Independent
2018,Tennessee Senate District 2 (unexpired term),J. Nathan Higdon,Independent
2018,United States House of Representatives District 1,Michael D. Salyer,Independent
2018,United States House of Representatives District 2,Greg Samples,Independent
2018,United States House of Representatives District 2,Jeffrey A. Grunau,Independent
2018,United States House of Representatives District 2,Keith A. LaTorre,Independent
2018,United States House of Representatives District 2,Marc Whitmire,Independent
2018,United States House of Representatives District 4,Michael Shupe,Independent
2018,United States House of Representatives District 4,Russell Wayne Steele,Independent
2018,United States House of Representatives District 7,Brent Legendre,Independent
2018,United States House of Representatives District 7,Leonard D. Ladner,Independent
2018,United States House of Representatives District 8,James Hart,Independent
2018,United States House of Representatives District 9,Leo AwGoWhat,Independent
