Year,County,Party,Partisan_Lean,Candidate,Votes,National_Winner,County_Winner
1904,Fentress,Prohibition,Other,Silas C. Swallow,0,FALSE,FALSE
1904,Fentress,Socialist,Left,Eugene V. Debs,1,FALSE,FALSE
1904,Franklin,Democratic,Center-Left,Alton B. Parker,2180,FALSE,TRUE
1904,Franklin,Republican,Center-Right,Theodore Roosevelt,704,TRUE,FALSE
1904,Franklin,Populist,Left,Thomas E. Watson,6,FALSE,FALSE
1904,Franklin,Prohibition,Other,Silas C. Swallow,20,FALSE,FALSE
1904,Franklin,Socialist,Left,Eugene V. Debs,8,FALSE,FALSE
1904,Gibson,Democratic,Center-Left,Alton B. Parker,3014,FALSE,TRUE
1904,Gibson,Republican,Center-Right,Theodore Roosevelt,1421,TRUE,FALSE
1904,Gibson,Populist,Left,Thomas E. Watson,67,FALSE,FALSE
1904,Gibson,Prohibition,Other,Silas C. Swallow,58,FALSE,FALSE
1904,Gibson,Socialist,Left,Eugene V. Debs,6,FALSE,FALSE
1904,Giles,Democratic,Center-Left,Alton B. Parker,2736,FALSE,TRUE
1904,Giles,Republican,Center-Right,Theodore Roosevelt,1583,TRUE,FALSE
1904,Giles,Populist,Left,Thomas E. Watson,45,FALSE,FALSE
1904,Giles,Prohibition,Other,Silas C. Swallow,3,FALSE,FALSE
1904,Giles,Socialist,Left,Eugene V. Debs,1,FALSE,FALSE
1904,Grainger,Democratic,Center-Left,Alton B. Parker,592,FALSE,FALSE
1904,Grainger,Republican,Center-Right,Theodore Roosevelt,1253,TRUE,TRUE
1904,Grainger,Populist,Left,Thomas E. Watson,6,FALSE,FALSE
1904,Grainger,Prohibition,Other,Silas C. Swallow,6,FALSE,FALSE
1904,Grainger,Socialist,Left,Eugene V. Debs,2,FALSE,FALSE
1904,Greene,Democratic,Center-Left,Alton B. Parker,2128,FALSE,TRUE
1904,Greene,Republican,Center-Right,Theodore Roosevelt,2036,TRUE,FALSE
1904,Greene,Populist,Left,Thomas E. Watson,4,FALSE,FALSE
1904,Greene,Prohibition,Other,Silas C. Swallow,14,FALSE,FALSE
1904,Greene,Socialist,Left,Eugene V. Debs,9,FALSE,FALSE
1904,Grundy,Democratic,Center-Left,Alton B. Parker,554,FALSE,TRUE
1904,Grundy,Republican,Center-Right,Theodore Roosevelt,264,TRUE,FALSE
1904,Grundy,Populist,Left,Thomas E. Watson,39,FALSE,FALSE
1904,Grundy,Prohibition,Other,Silas C. Swallow,2,FALSE,FALSE
1904,Grundy,Socialist,Left,Eugene V. Debs,98,FALSE,FALSE
1904,Hamblen,Democratic,Center-Left,Alton B. Parker,531,FALSE,FALSE
1904,Hamblen,Republican,Center-Right,Theodore Roosevelt,812,TRUE,TRUE
1904,Hamblen,Populist,Left,Thomas E. Watson,1,FALSE,FALSE
1904,Hamblen,Prohibition,Other,Silas C. Swallow,17,FALSE,FALSE
1904,Hamblen,Socialist,Left,Eugene V. Debs,2,FALSE,FALSE
1904,Hamilton,Democratic,Center-Left,Alton B. Parker,3287,FALSE,FALSE
1904,Hamilton,Republican,Center-Right,Theodore Roosevelt,3849,TRUE,TRUE
1904,Hamilton,Populist,Left,Thomas E. Watson,24,FALSE,FALSE
1904,Hamilton,Prohibition,Other,Silas C. Swallow,106,FALSE,FALSE
1904,Hamilton,Socialist,Left,Eugene V. Debs,227,FALSE,FALSE
1904,Hancock,Democratic,Center-Left,Alton B. Parker,382,FALSE,FALSE
1904,Hancock,Republican,Center-Right,Theodore Roosevelt,1244,TRUE,TRUE
1904,Hancock,Populist,Left,Thomas E. Watson,0,FALSE,FALSE
1904,Hancock,Prohibition,Other,Silas C. Swallow,0,FALSE,FALSE
1904,Hancock,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Hardeman,Democratic,Center-Left,Alton B. Parker,1903,FALSE,TRUE
1904,Hardeman,Republican,Center-Right,Theodore Roosevelt,986,TRUE,FALSE
1904,Hardeman,Populist,Left,Thomas E. Watson,70,FALSE,FALSE
1904,Hardeman,Prohibition,Other,Silas C. Swallow,14,FALSE,FALSE
1904,Hardeman,Socialist,Left,Eugene V. Debs,4,FALSE,FALSE
1904,Hardin,Democratic,Center-Left,Alton B. Parker,837,FALSE,FALSE
1904,Hardin,Republican,Center-Right,Theodore Roosevelt,1463,TRUE,TRUE
1904,Hardin,Populist,Left,Thomas E. Watson,45,FALSE,FALSE
1904,Hardin,Prohibition,Other,Silas C. Swallow,5,FALSE,FALSE
1904,Hardin,Socialist,Left,Eugene V. Debs,3,FALSE,FALSE
1904,Hawkins,Democratic,Center-Left,Alton B. Parker,935,FALSE,FALSE
1904,Hawkins,Republican,Center-Right,Theodore Roosevelt,1510,TRUE,TRUE
1904,Hawkins,Populist,Left,Thomas E. Watson,0,FALSE,FALSE
1904,Hawkins,Prohibition,Other,Silas C. Swallow,15,FALSE,FALSE
1904,Hawkins,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Haywood,Democratic,Center-Left,Alton B. Parker,1341,FALSE,TRUE
1904,Haywood,Republican,Center-Right,Theodore Roosevelt,64,TRUE,FALSE
1904,Haywood,Populist,Left,Thomas E. Watson,1,FALSE,FALSE
1904,Haywood,Prohibition,Other,Silas C. Swallow,1,FALSE,FALSE
1904,Haywood,Socialist,Left,Eugene V. Debs,1,FALSE,FALSE
1904,Henderson,Democratic,Center-Left,Alton B. Parker,864,FALSE,FALSE
1904,Henderson,Republican,Center-Right,Theodore Roosevelt,1313,TRUE,TRUE
1904,Henderson,Populist,Left,Thomas E. Watson,37,FALSE,FALSE
1904,Henderson,Prohibition,Other,Silas C. Swallow,37,FALSE,FALSE
1904,Henderson,Socialist,Left,Eugene V. Debs,11,FALSE,FALSE
1904,Henry,Democratic,Center-Left,Alton B. Parker,2365,FALSE,TRUE
1904,Henry,Republican,Center-Right,Theodore Roosevelt,928,TRUE,FALSE
1904,Henry,Populist,Left,Thomas E. Watson,57,FALSE,FALSE
1904,Henry,Prohibition,Other,Silas C. Swallow,38,FALSE,FALSE
1904,Henry,Socialist,Left,Eugene V. Debs,5,FALSE,FALSE
1904,Hickman,Democratic,Center-Left,Alton B. Parker,1231,FALSE,TRUE
1904,Hickman,Republican,Center-Right,Theodore Roosevelt,922,TRUE,FALSE
1904,Hickman,Populist,Left,Thomas E. Watson,48,FALSE,FALSE
1904,Hickman,Prohibition,Other,Silas C. Swallow,7,FALSE,FALSE
1904,Hickman,Socialist,Left,Eugene V. Debs,6,FALSE,FALSE
1904,Houston,Democratic,Center-Left,Alton B. Parker,555,FALSE,TRUE
1904,Houston,Republican,Center-Right,Theodore Roosevelt,287,TRUE,FALSE
1904,Houston,Populist,Left,Thomas E. Watson,1,FALSE,FALSE
1904,Houston,Prohibition,Other,Silas C. Swallow,27,FALSE,FALSE
1904,Houston,Socialist,Left,Eugene V. Debs,27,FALSE,FALSE
1904,Humphreys,Democratic,Center-Left,Alton B. Parker,1209,FALSE,TRUE
1904,Humphreys,Republican,Center-Right,Theodore Roosevelt,539,TRUE,FALSE
1904,Humphreys,Populist,Left,Thomas E. Watson,8,FALSE,FALSE
1904,Humphreys,Prohibition,Other,Silas C. Swallow,25,FALSE,FALSE
1904,Humphreys,Socialist,Left,Eugene V. Debs,5,FALSE,FALSE
1904,Jackson,Democratic,Center-Left,Alton B. Parker,1222,FALSE,TRUE
1904,Jackson,Republican,Center-Right,Theodore Roosevelt,772,TRUE,FALSE
1904,Jackson,Populist,Left,Thomas E. Watson,17,FALSE,FALSE
1904,Jackson,Prohibition,Other,Silas C. Swallow,0,FALSE,FALSE
1904,Jackson,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,James,Democratic,Center-Left,Alton B. Parker,222,FALSE,FALSE
1904,James,Republican,Center-Right,Theodore Roosevelt,533,TRUE,TRUE
1904,James,Populist,Left,Thomas E. Watson,7,FALSE,FALSE
1904,James,Prohibition,Other,Silas C. Swallow,1,FALSE,FALSE
1904,James,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Jefferson,Democratic,Center-Left,Alton B. Parker,380,FALSE,FALSE
1904,Jefferson,Republican,Center-Right,Theodore Roosevelt,1217,TRUE,TRUE
1904,Jefferson,Populist,Left,Thomas E. Watson,4,FALSE,FALSE
1904,Jefferson,Prohibition,Other,Silas C. Swallow,18,FALSE,FALSE
1904,Jefferson,Socialist,Left,Eugene V. Debs,2,FALSE,FALSE
1904,Johnson,Democratic,Center-Left,Alton B. Parker,219,FALSE,FALSE
1904,Johnson,Republican,Center-Right,Theodore Roosevelt,1769,TRUE,TRUE
1904,Johnson,Populist,Left,Thomas E. Watson,0,FALSE,FALSE
1904,Johnson,Prohibition,Other,Silas C. Swallow,11,FALSE,FALSE
1904,Johnson,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Knox,Democratic,Center-Left,Alton B. Parker,3196,FALSE,FALSE
1904,Knox,Republican,Center-Right,Theodore Roosevelt,4309,TRUE,TRUE
1904,Knox,Populist,Left,Thomas E. Watson,20,FALSE,FALSE
1904,Knox,Prohibition,Other,Silas C. Swallow,120,FALSE,FALSE
1904,Knox,Socialist,Left,Eugene V. Debs,103,FALSE,FALSE
1904,Lake,Democratic,Center-Left,Alton B. Parker,469,FALSE,TRUE
1904,Lake,Republican,Center-Right,Theodore Roosevelt,174,TRUE,FALSE
1904,Lake,Populist,Left,Thomas E. Watson,0,FALSE,FALSE
1904,Lake,Prohibition,Other,Silas C. Swallow,1,FALSE,FALSE
1904,Lake,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Lauderdale,Democratic,Center-Left,Alton B. Parker,3017,FALSE,TRUE
1904,Lauderdale,Republican,Center-Right,Theodore Roosevelt,168,TRUE,FALSE
1904,Lauderdale,Populist,Left,Thomas E. Watson,16,FALSE,FALSE
1904,Lauderdale,Prohibition,Other,Silas C. Swallow,0,FALSE,FALSE
1904,Lauderdale,Socialist,Left,Eugene V. Debs,6,FALSE,FALSE
1904,Lawrence,Democratic,Center-Left,Alton B. Parker,1299,FALSE,FALSE
1904,Lawrence,Republican,Center-Right,Theodore Roosevelt,1359,TRUE,TRUE
1904,Lawrence,Populist,Left,Thomas E. Watson,0,FALSE,FALSE
1904,Lawrence,Prohibition,Other,Silas C. Swallow,0,FALSE,FALSE
1904,Lawrence,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Lewis,Democratic,Center-Left,Alton B. Parker,415,FALSE,TRUE
1904,Lewis,Republican,Center-Right,Theodore Roosevelt,220,TRUE,FALSE
1904,Lewis,Populist,Left,Thomas E. Watson,0,FALSE,FALSE
1904,Lewis,Prohibition,Other,Silas C. Swallow,1,FALSE,FALSE
1904,Lewis,Socialist,Left,Eugene V. Debs,20,FALSE,FALSE
1904,Lincoln,Democratic,Center-Left,Alton B. Parker,2227,FALSE,TRUE
1904,Lincoln,Republican,Center-Right,Theodore Roosevelt,631,TRUE,FALSE
1904,Lincoln,Populist,Left,Thomas E. Watson,195,FALSE,FALSE
1904,Lincoln,Prohibition,Other,Silas C. Swallow,96,FALSE,FALSE
1904,Lincoln,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Loudon,Democratic,Center-Left,Alton B. Parker,356,FALSE,FALSE
1904,Loudon,Republican,Center-Right,Theodore Roosevelt,810,TRUE,TRUE
1904,Loudon,Populist,Left,Thomas E. Watson,8,FALSE,FALSE
1904,Loudon,Prohibition,Other,Silas C. Swallow,7,FALSE,FALSE
1904,Loudon,Socialist,Left,Eugene V. Debs,3,FALSE,FALSE
1904,Macon,Democratic,Center-Left,Alton B. Parker,751,FALSE,FALSE
1904,Macon,Republican,Center-Right,Theodore Roosevelt,1482,TRUE,TRUE
1904,Macon,Populist,Left,Thomas E. Watson,28,FALSE,FALSE
1904,Macon,Prohibition,Other,Silas C. Swallow,0,FALSE,FALSE
1904,Macon,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Madison,Democratic,Center-Left,Alton B. Parker,2618,FALSE,TRUE
1904,Madison,Republican,Center-Right,Theodore Roosevelt,1180,TRUE,FALSE
1904,Madison,Populist,Left,Thomas E. Watson,174,FALSE,FALSE
1904,Madison,Prohibition,Other,Silas C. Swallow,5,FALSE,FALSE
1904,Madison,Socialist,Left,Eugene V. Debs,21,FALSE,FALSE
1904,Marion,Democratic,Center-Left,Alton B. Parker,731,FALSE,FALSE
1904,Marion,Republican,Center-Right,Theodore Roosevelt,1189,TRUE,TRUE
1904,Marion,Populist,Left,Thomas E. Watson,3,FALSE,FALSE
1904,Marion,Prohibition,Other,Silas C. Swallow,18,FALSE,FALSE
1904,Marion,Socialist,Left,Eugene V. Debs,39,FALSE,FALSE
1904,Marshall,Democratic,Center-Left,Alton B. Parker,2152,FALSE,TRUE
1904,Marshall,Republican,Center-Right,Theodore Roosevelt,620,TRUE,FALSE
1904,Marshall,Populist,Left,Thomas E. Watson,128,FALSE,FALSE
1904,Marshall,Prohibition,Other,Silas C. Swallow,21,FALSE,FALSE
1904,Marshall,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Maury,Democratic,Center-Left,Alton B. Parker,2142,FALSE,TRUE
1904,Maury,Republican,Center-Right,Theodore Roosevelt,973,TRUE,FALSE
1904,Maury,Populist,Left,Thomas E. Watson,41,FALSE,FALSE
1904,Maury,Prohibition,Other,Silas C. Swallow,37,FALSE,FALSE
1904,Maury,Socialist,Left,Eugene V. Debs,11,FALSE,FALSE
1904,McMinn,Democratic,Center-Left,Alton B. Parker,1001,FALSE,FALSE
1904,McMinn,Republican,Center-Right,Theodore Roosevelt,1669,TRUE,TRUE
1904,McMinn,Populist,Left,Thomas E. Watson,5,FALSE,FALSE
1904,McMinn,Prohibition,Other,Silas C. Swallow,0,FALSE,FALSE
1904,McMinn,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,McNairy,Democratic,Center-Left,Alton B. Parker,1218,FALSE,FALSE
1904,McNairy,Republican,Center-Right,Theodore Roosevelt,1525,TRUE,TRUE
1904,McNairy,Populist,Left,Thomas E. Watson,121,FALSE,FALSE
1904,McNairy,Prohibition,Other,Silas C. Swallow,2,FALSE,FALSE
1904,McNairy,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Meigs,Democratic,Center-Left,Alton B. Parker,563,FALSE,TRUE
1904,Meigs,Republican,Center-Right,Theodore Roosevelt,481,TRUE,FALSE
1904,Meigs,Populist,Left,Thomas E. Watson,20,FALSE,FALSE
1904,Meigs,Prohibition,Other,Silas C. Swallow,1,FALSE,FALSE
1904,Meigs,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Monroe,Democratic,Center-Left,Alton B. Parker,1385,FALSE,FALSE
1904,Monroe,Republican,Center-Right,Theodore Roosevelt,1724,TRUE,TRUE
1904,Monroe,Populist,Left,Thomas E. Watson,1,FALSE,FALSE
1904,Monroe,Prohibition,Other,Silas C. Swallow,20,FALSE,FALSE
1904,Monroe,Socialist,Left,Eugene V. Debs,4,FALSE,FALSE
1904,Montgomery,Democratic,Center-Left,Alton B. Parker,1697,FALSE,TRUE
1904,Montgomery,Republican,Center-Right,Theodore Roosevelt,843,TRUE,FALSE
1904,Montgomery,Populist,Left,Thomas E. Watson,19,FALSE,FALSE
1904,Montgomery,Prohibition,Other,Silas C. Swallow,121,FALSE,FALSE
1904,Montgomery,Socialist,Left,Eugene V. Debs,4,FALSE,FALSE
1904,Moore,Democratic,Center-Left,Alton B. Parker,857,FALSE,TRUE
1904,Moore,Republican,Center-Right,Theodore Roosevelt,95,TRUE,FALSE
1904,Moore,Populist,Left,Thomas E. Watson,18,FALSE,FALSE
1904,Moore,Prohibition,Other,Silas C. Swallow,1,FALSE,FALSE
1904,Moore,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Morgan,Democratic,Center-Left,Alton B. Parker,387,FALSE,FALSE
1904,Morgan,Republican,Center-Right,Theodore Roosevelt,1049,TRUE,TRUE
1904,Morgan,Populist,Left,Thomas E. Watson,0,FALSE,FALSE
1904,Morgan,Prohibition,Other,Silas C. Swallow,16,FALSE,FALSE
1904,Morgan,Socialist,Left,Eugene V. Debs,1,FALSE,FALSE
1904,Obion,Democratic,Center-Left,Alton B. Parker,2624,FALSE,TRUE
1904,Obion,Republican,Center-Right,Theodore Roosevelt,756,TRUE,FALSE
1904,Obion,Populist,Left,Thomas E. Watson,2,FALSE,FALSE
1904,Obion,Prohibition,Other,Silas C. Swallow,18,FALSE,FALSE
1904,Obion,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Overton,Democratic,Center-Left,Alton B. Parker,1125,FALSE,TRUE
1904,Overton,Republican,Center-Right,Theodore Roosevelt,817,TRUE,FALSE
1904,Overton,Populist,Left,Thomas E. Watson,0,FALSE,FALSE
1904,Overton,Prohibition,Other,Silas C. Swallow,0,FALSE,FALSE
1904,Overton,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Perry,Democratic,Center-Left,Alton B. Parker,752,FALSE,TRUE
1904,Perry,Republican,Center-Right,Theodore Roosevelt,584,TRUE,FALSE
1904,Perry,Populist,Left,Thomas E. Watson,0,FALSE,FALSE
1904,Perry,Prohibition,Other,Silas C. Swallow,0,FALSE,FALSE
1904,Perry,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Pickett,Democratic,Center-Left,Alton B. Parker,346,FALSE,FALSE
1904,Pickett,Republican,Center-Right,Theodore Roosevelt,509,TRUE,TRUE
1904,Pickett,Populist,Left,Thomas E. Watson,0,FALSE,FALSE
1904,Pickett,Prohibition,Other,Silas C. Swallow,0,FALSE,FALSE
1904,Pickett,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Polk,Democratic,Center-Left,Alton B. Parker,688,FALSE,FALSE
1904,Polk,Republican,Center-Right,Theodore Roosevelt,1006,TRUE,TRUE
1904,Polk,Populist,Left,Thomas E. Watson,0,FALSE,FALSE
1904,Polk,Prohibition,Other,Silas C. Swallow,0,FALSE,FALSE
1904,Polk,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Putnam,Democratic,Center-Left,Alton B. Parker,1310,FALSE,TRUE
