YEAR,ELECTYPE,LOCALITY,COUNTY,STATEFP,PRECINCT,PRECINCT_NAME,OFFICENAME,CANDIDATE,PARTY,VOTES
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States Senate,Harold Ford Jr.,Democrat,546
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States Senate,Bob Corker,Republican,641
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States Senate,Ed Choate,Independent,16
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States Senate,David Gatchell,Independent,2
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States Senate,Emory (Bo) Heyward,Independent,2
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States Senate,H. Gary Keplinger,Independent,6
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States Senate,Christopher Joseph Lugo,Independent,1
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States Senate,Thomas M. Davidson,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States Senate,James Anthony Gray,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States Senate,John Jay Hooker,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States Senate,Gloria D. Reagon Price,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States Senate,Mary Taylor-Shelby,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-2,New Hope CC,United States Senate,Harold Ford Jr.,Democrat,15
2006,PRIMARY,FEDERAL,Cheatham,47,4-2,New Hope CC,United States Senate,Bob Corker,Republican,21
2006,PRIMARY,FEDERAL,Cheatham,47,4-2,New Hope CC,United States Senate,Ed Choate,Independent,1
2006,PRIMARY,FEDERAL,Cheatham,47,4-2,New Hope CC,United States Senate,David Gatchell,Independent,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-2,New Hope CC,United States Senate,Emory (Bo) Heyward,Independent,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-2,New Hope CC,United States Senate,H. Gary Keplinger,Independent,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-2,New Hope CC,United States Senate,Christopher Joseph Lugo,Independent,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-2,New Hope CC,United States Senate,Thomas M. Davidson,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-2,New Hope CC,United States Senate,James Anthony Gray,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-2,New Hope CC,United States Senate,John Jay Hooker,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-2,New Hope CC,United States Senate,Gloria D. Reagon Price,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-2,New Hope CC,United States Senate,Mary Taylor-Shelby,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-3,Sycamore Middle,United States Senate,Harold Ford Jr.,Democrat,297
2006,PRIMARY,FEDERAL,Cheatham,47,4-3,Sycamore Middle,United States Senate,Bob Corker,Republican,398
2006,PRIMARY,FEDERAL,Cheatham,47,4-3,Sycamore Middle,United States Senate,Ed Choate,Independent,12
2006,PRIMARY,FEDERAL,Cheatham,47,4-3,Sycamore Middle,United States Senate,David Gatchell,Independent,1
2006,PRIMARY,FEDERAL,Cheatham,47,4-3,Sycamore Middle,United States Senate,Emory (Bo) Heyward,Independent,2
2006,PRIMARY,FEDERAL,Cheatham,47,4-3,Sycamore Middle,United States Senate,H. Gary Keplinger,Independent,1
2006,PRIMARY,FEDERAL,Cheatham,47,4-3,Sycamore Middle,United States Senate,Christopher Joseph Lugo,Independent,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-3,Sycamore Middle,United States Senate,Thomas M. Davidson,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-3,Sycamore Middle,United States Senate,James Anthony Gray,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-3,Sycamore Middle,United States Senate,John Jay Hooker,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-3,Sycamore Middle,United States Senate,Gloria D. Reagon Price,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-3,Sycamore Middle,United States Senate,Mary Taylor-Shelby,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,5-1,Two Rivers Fire,United States Senate,Harold Ford Jr.,Democrat,278
2006,PRIMARY,FEDERAL,Cheatham,47,5-1,Two Rivers Fire,United States Senate,Bob Corker,Republican,282
2006,PRIMARY,FEDERAL,Cheatham,47,5-1,Two Rivers Fire,United States Senate,Ed Choate,Independent,10
2006,PRIMARY,FEDERAL,Cheatham,47,5-1,Two Rivers Fire,United States Senate,David Gatchell,Independent,5
2006,PRIMARY,FEDERAL,Cheatham,47,5-1,Two Rivers Fire,United States Senate,Emory (Bo) Heyward,Independent,2
2006,PRIMARY,FEDERAL,Cheatham,47,5-1,Two Rivers Fire,United States Senate,H. Gary Keplinger,Independent,2
2006,PRIMARY,FEDERAL,Cheatham,47,5-1,Two Rivers Fire,United States Senate,Christopher Joseph Lugo,Independent,3
2006,PRIMARY,FEDERAL,Cheatham,47,5-1,Two Rivers Fire,United States Senate,Thomas M. Davidson,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,5-1,Two Rivers Fire,United States Senate,James Anthony Gray,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,5-1,Two Rivers Fire,United States Senate,John Jay Hooker,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,5-1,Two Rivers Fire,United States Senate,Gloria D. Reagon Price,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,5-1,Two Rivers Fire,United States Senate,Mary Taylor-Shelby,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,5-2,Pegram Elementary,United States Senate,Harold Ford Jr.,Democrat,632
2006,PRIMARY,FEDERAL,Cheatham,47,5-2,Pegram Elementary,United States Senate,Bob Corker,Republican,778
2006,PRIMARY,FEDERAL,Cheatham,47,5-2,Pegram Elementary,United States Senate,Ed Choate,Independent,15
2006,PRIMARY,FEDERAL,Cheatham,47,5-2,Pegram Elementary,United States Senate,David Gatchell,Independent,4
2006,PRIMARY,FEDERAL,Cheatham,47,5-2,Pegram Elementary,United States Senate,Emory (Bo) Heyward,Independent,3
2006,PRIMARY,FEDERAL,Cheatham,47,5-2,Pegram Elementary,United States Senate,H. Gary Keplinger,Independent,3
2006,PRIMARY,FEDERAL,Cheatham,47,5-2,Pegram Elementary,United States Senate,Christopher Joseph Lugo,Independent,1
2006,PRIMARY,FEDERAL,Cheatham,47,5-2,Pegram Elementary,United States Senate,Thomas M. Davidson,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,5-2,Pegram Elementary,United States Senate,James Anthony Gray,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,5-2,Pegram Elementary,United States Senate,John Jay Hooker,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,5-2,Pegram Elementary,United States Senate,Gloria D. Reagon Price,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,5-2,Pegram Elementary,United States Senate,Mary Taylor-Shelby,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,6-1,Harpeth High,United States Senate,Harold Ford Jr.,Democrat,1016
2006,PRIMARY,FEDERAL,Cheatham,47,6-1,Harpeth High,United States Senate,Bob Corker,Republican,1192
2006,PRIMARY,FEDERAL,Cheatham,47,6-1,Harpeth High,United States Senate,Ed Choate,Independent,26
2006,PRIMARY,FEDERAL,Cheatham,47,6-1,Harpeth High,United States Senate,David Gatchell,Independent,11
2006,PRIMARY,FEDERAL,Cheatham,47,6-1,Harpeth High,United States Senate,Emory (Bo) Heyward,Independent,5
2006,PRIMARY,FEDERAL,Cheatham,47,6-1,Harpeth High,United States Senate,H. Gary Keplinger,Independent,7
2006,PRIMARY,FEDERAL,Cheatham,47,6-1,Harpeth High,United States Senate,Christopher Joseph Lugo,Independent,4
2006,PRIMARY,FEDERAL,Cheatham,47,6-1,Harpeth High,United States Senate,Thomas M. Davidson,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,6-1,Harpeth High,United States Senate,James Anthony Gray,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,6-1,Harpeth High,United States Senate,John Jay Hooker,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,6-1,Harpeth High,United States Senate,Gloria D. Reagon Price,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,6-1,Harpeth High,United States Senate,Mary Taylor-Shelby,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,1-1,AC Church Christ,United States House of Representatives District 5,Jim Cooper,Democrat,971
2006,PRIMARY,FEDERAL,Cheatham,47,1-1,AC Church Christ,United States House of Representatives District 5,Thomas F. Kovach,Republican,401
2006,PRIMARY,FEDERAL,Cheatham,47,1-1,AC Church Christ,United States House of Representatives District 5,Scott Knapp,Independent,16
2006,PRIMARY,FEDERAL,Cheatham,47,1-1,AC Church Christ,United States House of Representatives District 5,Ginny Welsch,Independent,20
2006,PRIMARY,FEDERAL,Cheatham,47,2-2,East Cheatham Elementary,United States House of Representatives District 5,Jim Cooper,Democrat,954
2006,PRIMARY,FEDERAL,Cheatham,47,2-2,East Cheatham Elementary,United States House of Representatives District 5,Thomas F. Kovach,Republican,614
2006,PRIMARY,FEDERAL,Cheatham,47,2-2,East Cheatham Elementary,United States House of Representatives District 5,Scott Knapp,Independent,22
2006,PRIMARY,FEDERAL,Cheatham,47,2-2,East Cheatham Elementary,United States House of Representatives District 5,Ginny Welsch,Independent,20
2006,PRIMARY,FEDERAL,Cheatham,47,3-1,Pleasant View,United States House of Representatives District 5,Jim Cooper,Democrat,1254
2006,PRIMARY,FEDERAL,Cheatham,47,3-1,Pleasant View,United States House of Representatives District 5,Thomas F. Kovach,Republican,792
2006,PRIMARY,FEDERAL,Cheatham,47,3-1,Pleasant View,United States House of Representatives District 5,Scott Knapp,Independent,25
2006,PRIMARY,FEDERAL,Cheatham,47,3-1,Pleasant View,United States House of Representatives District 5,Ginny Welsch,Independent,24
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States House of Representatives District 5,Jim Cooper,Democrat,53
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States House of Representatives District 5,Thomas F. Kovach,Republican,34
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States House of Representatives District 5,Scott Knapp,Independent,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States House of Representatives District 5,Ginny Welsch,Independent,2
2006,PRIMARY,FEDERAL,Cheatham,47,4-3,Sycamore Middle,United States House of Representatives District 5,Jim Cooper,Democrat,411
2006,PRIMARY,FEDERAL,Cheatham,47,4-3,Sycamore Middle,United States House of Representatives District 5,Thomas F. Kovach,Republican,262
2006,PRIMARY,FEDERAL,Cheatham,47,4-3,Sycamore Middle,United States House of Representatives District 5,Scott Knapp,Independent,10
2006,PRIMARY,FEDERAL,Cheatham,47,4-3,Sycamore Middle,United States House of Representatives District 5,Ginny Welsch,Independent,5
2006,PRIMARY,FEDERAL,Cheatham,47,5-2,Pegram Elementary,United States House of Representatives District 5,Jim Cooper,Democrat,791
2006,PRIMARY,FEDERAL,Cheatham,47,5-2,Pegram Elementary,United States House of Representatives District 5,Thomas F. Kovach,Republican,544
2006,PRIMARY,FEDERAL,Cheatham,47,5-2,Pegram Elementary,United States House of Representatives District 5,Scott Knapp,Independent,23
2006,PRIMARY,FEDERAL,Cheatham,47,5-2,Pegram Elementary,United States House of Representatives District 5,Ginny Welsch,Independent,30
2006,PRIMARY,FEDERAL,Cheatham,47,6-1,Harpeth High,United States House of Representatives District 5,Jim Cooper,Democrat,43
2006,PRIMARY,FEDERAL,Cheatham,47,6-1,Harpeth High,United States House of Representatives District 5,Thomas F. Kovach,Republican,21
2006,PRIMARY,FEDERAL,Cheatham,47,6-1,Harpeth High,United States House of Representatives District 5,Scott Knapp,Independent,1
2006,PRIMARY,FEDERAL,Cheatham,47,6-1,Harpeth High,United States House of Representatives District 5,Ginny Welsch,Independent,0
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States House of Representatives District 7,Bill Morrison,Democrat,429
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States House of Representatives District 7,Marsha Blackburn,Republican,636
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States House of Representatives District 7,Kathleen A. Culver,Independent,15
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States House of Representatives District 7,Gayl G. Pratt,Independent,1
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States House of Representatives District 7,John L. Rimer,Independent,2
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States House of Representatives District 7,William J. Smith,Independent,1
2006,PRIMARY,FEDERAL,Cheatham,47,4-1,West Cheatham Elementary,United States House of Representatives District 7,James B. (Mickey) White,Independent,5
2006,PRIMARY,FEDERAL,Cheatham,47,4-2,New Hope CC,United States House of Representatives District 7,Bill Morrison,Democrat,12
2006,PRIMARY,FEDERAL,Cheatham,47,4-2,New Hope CC,United States House of Representatives District 7,Marsha Blackburn,Republican,23
